gene	BulkHC1	BulkHC2	BulkHC3	BulkHC4	BulkSOR1	BulkSOR2	BulkSOR3	BulkSOR4
ENSMUSG00000000563	9255.84	12539.43	10305.07	14009.33	13678.17	9658.12	10851.43	9133.23
ENSMUSG00000000567	534.43	737.28	619.03	885.50	682.17	522.89	535.86	457.13
ENSMUSG00000000568	3188.30	4259.58	3210.35	4424.83	3464.14	3437.58	3878.31	2589.14
ENSMUSG00000000579	206.97	182.65	174.72	279.03	217.70	160.80	208.66	122.98
ENSMUSG00000000581	1136.36	1493.02	1133.03	1673.41	1503.24	1042.60	1059.56	1093.82
ENSMUSG00000000594	2500.75	3105.87	2476.86	3599.35	3545.67	2210.67	2503.37	2195.67
ENSMUSG00000000600	5693.64	7182.54	5737.83	8464.72	7956.90	6390.14	7254.13	5314.54
ENSMUSG00000000605	13571.98	17231.42	13473.59	19149.66	17652.30	13598.60	15367.09	12191.43
ENSMUSG00000000606	22.90	6.02	6.42	2.95	12.27	8.92	12.75	11.83
ENSMUSG00000000617	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99
ENSMUSG00000000627	790.87	911.56	738.33	1081.34	790.05	741.35	829.46	793.15
ENSMUSG00000000628	307.90	415.69	369.20	503.07	601.55	303.34	813.34	271.23
ENSMUSG00000000631	6718.25	7766.92	6623.37	9124.40	8783.03	7242.26	9339.11	5850.32
ENSMUSG00000000632	3822.81	4582.44	3322.97	4849.76	3127.46	3440.22	5312.93	3196.38
ENSMUSG00000000673	8.62	16.01	1.02	19.79	6.16	4.92	8.90	1.99
ENSMUSG00000000682	27.67	67.16	48.74	60.93	38.99	46.11	40.63	34.12
ENSMUSG00000000686	31.49	49.73	37.83	48.12	46.69	57.76	20.89	23.90
ENSMUSG00000000690	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000693	406.74	319.41	263.27	397.08	389.06	378.50	309.62	312.69
ENSMUSG00000000701	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000706	1.55	0.83	3.42	19.27	0.00	2.40	7.46	4.14
ENSMUSG00000000708	1246.49	1894.97	1651.29	2333.17	3114.57	1754.77	1710.71	1316.69
ENSMUSG00000000711	7360.26	9717.37	7680.72	10988.19	9724.12	7271.49	8462.04	6845.88
ENSMUSG00000000724	4.79	15.51	6.62	7.06	18.18	10.85	7.95	3.19
ENSMUSG00000000730	9.01	11.75	15.14	1.80	4.31	8.41	5.69	13.04
ENSMUSG00000000731	10.52	11.62	7.14	11.09	3.09	7.24	4.84	2.20
ENSMUSG00000000732	332.11	454.65	386.52	550.87	499.58	351.90	365.93	553.00
ENSMUSG00000000738	2215.70	2669.47	2042.65	3042.25	2763.92	2143.63	2590.83	2013.78
ENSMUSG00000000739	78.88	101.16	64.68	150.13	174.18	78.46	93.86	137.85
ENSMUSG00000000740	6106.26	8197.34	6357.26	9350.54	8571.19	5964.49	7072.49	5632.06
ENSMUSG00000000743	2385.04	3237.89	2558.84	3443.17	3280.13	2210.32	2612.10	4407.65
ENSMUSG00000000751	2371.28	3375.69	2650.00	3919.32	3246.10	2501.55	2867.10	2500.09
ENSMUSG00000000753	521.68	381.48	593.91	1020.73	903.22	563.13	326.56	617.04
ENSMUSG00000000759	2949.34	3256.59	2813.27	3660.81	3321.38	2747.05	3419.22	2075.30
ENSMUSG00000000766	88.31	155.41	117.51	169.14	120.90	115.06	124.33	73.70
ENSMUSG00000000776	955.32	1184.88	741.30	1229.84	995.97	860.12	979.70	847.39
ENSMUSG00000000782	55.20	63.41	44.79	107.48	78.49	57.75	79.58	39.34
ENSMUSG00000000787	17161.40	23273.12	17558.84	25647.91	21220.07	15940.31	19293.46	13709.04
ENSMUSG00000000791	22.12	28.99	38.08	31.47	29.62	14.80	27.10	20.39
ENSMUSG00000000792	482.32	585.02	485.47	737.89	568.20	382.75	679.21	566.70
ENSMUSG00000000794	1266.89	1359.23	912.02	1416.10	1021.46	1030.53	1272.38	929.49
ENSMUSG00000000804	8534.71	12307.98	8568.30	11321.97	12899.34	9137.30	11722.12	7933.13
ENSMUSG00000000805	769.17	1064.60	974.82	1348.02	1199.15	865.40	1126.12	774.65
ENSMUSG00000000811	145.56	195.73	134.29	207.45	181.88	116.24	139.22	101.91
ENSMUSG00000000817	4.30	2.70	3.69	24.28	1.85	3.52	0.88	0.89
ENSMUSG00000000823	2057.27	3087.35	2408.79	3235.08	2683.74	2255.93	2594.75	1999.17
ENSMUSG00000000826	13025.70	17115.93	13294.25	18858.93	17054.45	13006.74	14781.22	12184.58
ENSMUSG00000000827	1914.27	2572.07	2130.99	2622.95	2532.60	1877.59	2088.69	1563.10
ENSMUSG00000000838	4021.45	5287.43	4143.96	5987.18	5091.77	4055.28	4742.78	3585.98
ENSMUSG00000000861	3089.77	4445.58	3258.03	4770.61	3887.81	3101.38	4192.64	3052.76
ENSMUSG00000000869	11.21	8.04	19.93	23.50	31.08	12.66	19.75	6.97
ENSMUSG00000000876	623.77	812.04	662.85	1017.57	836.04	593.23	620.40	582.87
ENSMUSG00000000881	12332.59	16846.06	14106.27	19121.01	18658.65	13125.91	14870.68	12147.48
ENSMUSG00000000884	142.84	147.27	79.95	201.49	105.79	90.04	66.95	124.20
ENSMUSG00000000889	29.09	51.32	44.11	51.90	50.63	44.83	33.69	27.73
ENSMUSG00000000901	65.92	135.09	98.53	89.04	191.35	107.38	113.86	92.46
ENSMUSG00000000902	1593.22	2397.69	1918.48	2618.27	2428.55	1642.11	1852.74	1665.43
ENSMUSG00000000903	0.00	2.20	4.48	1.64	5.87	4.07	0.00	3.26
ENSMUSG00000000915	3592.30	5235.97	3896.34	5571.18	4885.62	3838.49	4260.75	3804.03
ENSMUSG00000000916	314.19	420.87	306.80	449.26	579.57	328.63	388.18	357.44
ENSMUSG00000000934	913.02	1206.33	907.15	1374.59	1052.20	817.47	884.87	796.11
ENSMUSG00000000938	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000942	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000948	5556.85	6695.78	5265.39	6698.05	6930.62	5386.08	6338.64	4212.97
ENSMUSG00000000957	480.18	591.36	524.60	723.63	637.73	496.16	518.52	428.10
ENSMUSG00000000958	70.45	88.86	60.50	128.95	123.76	112.80	83.84	85.56
ENSMUSG00000000959	1062.60	1470.80	1124.77	1547.82	1417.93	1083.48	1277.64	1043.29
ENSMUSG00000000976	986.10	949.81	874.39	1382.18	1125.49	741.64	1129.76	872.03
ENSMUSG00000000982	13.86	29.22	35.30	27.58	11.72	17.25	18.77	22.96
ENSMUSG00000000983	18.64	19.59	10.90	35.57	23.03	12.92	14.05	12.23
ENSMUSG00000001014	22.59	29.74	27.93	21.49	22.70	27.13	24.48	23.48
ENSMUSG00000001016	4293.57	5789.41	4371.56	6315.45	5116.33	4188.68	4981.37	3580.68
ENSMUSG00000001017	4047.27	5494.34	4376.33	6432.61	5382.37	4072.14	4653.63	4046.02
ENSMUSG00000001018	1616.42	2107.54	1748.13	2457.18	1951.98	1507.40	1745.47	1483.88
ENSMUSG00000001020	80.78	103.58	77.81	109.34	61.54	58.87	87.50	58.80
ENSMUSG00000001021	12.59	40.94	19.37	28.89	42.20	28.11	71.86	66.80
ENSMUSG00000001023	0.95	0.00	0.00	0.00	2.07	0.00	0.00	4.00
ENSMUSG00000001025	294.72	303.31	279.90	392.08	299.05	241.02	289.81	208.84
ENSMUSG00000001027	17.70	19.99	4.66	3.05	3.14	3.02	3.83	0.00
ENSMUSG00000001029	84.96	76.53	65.28	124.19	94.19	89.43	111.74	88.47
ENSMUSG00000001034	626.51	723.50	614.47	898.93	743.19	624.16	726.43	591.08
ENSMUSG00000001036	8143.11	11264.44	8497.76	12233.50	11425.13	8629.83	9144.71	7688.07
ENSMUSG00000001039	423.15	532.57	424.40	486.20	417.41	409.29	487.82	366.26
ENSMUSG00000001052	1600.09	2053.74	1637.82	2142.21	1965.96	1777.99	1972.12	1401.69
ENSMUSG00000001053	651.07	719.08	596.79	868.16	963.49	683.98	954.16	547.20
ENSMUSG00000001054	1848.15	2437.58	1943.90	2729.90	2534.19	1777.80	1997.77	1812.31
ENSMUSG00000001056	1228.55	1616.40	1195.08	1863.03	1444.82	1153.97	1239.18	1009.71
ENSMUSG00000001062	1043.89	1710.69	1210.02	1747.83	1584.64	1280.90	1553.51	1195.44
ENSMUSG00000001065	2108.35	953.48	856.79	1099.64	1351.25	1051.60	1170.02	1011.29
ENSMUSG00000001076	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000001082	351.39	367.51	276.34	420.92	243.31	359.58	398.53	281.37
ENSMUSG00000001089	9376.87	11671.29	9553.33	13252.07	14090.04	10062.86	11818.20	8980.23
ENSMUSG00000001095	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.99
ENSMUSG00000001098	1962.77	2412.54	2201.62	3015.39	2769.63	2026.33	2438.89	1851.20
ENSMUSG00000001100	3683.57	4749.25	4075.16	5316.91	5186.20	3483.29	4140.35	3182.18
ENSMUSG00000001103	353.76	527.77	436.48	610.75	517.05	370.84	412.47	351.86
ENSMUSG00000001105	1631.00	2036.34	1911.13	2434.84	2123.51	1522.81	1760.96	1553.63
ENSMUSG00000001119	345.55	317.66	244.93	429.62	347.29	275.71	526.96	305.37
ENSMUSG00000001120	944.31	1181.55	948.57	1560.70	1276.61	1027.75	1033.21	968.70
ENSMUSG00000001123	132.63	171.50	149.48	220.50	158.09	118.90	156.23	129.07
ENSMUSG00000001127	4062.22	4865.88	4030.40	5808.92	4751.07	3841.80	4332.12	3549.14
ENSMUSG00000001128	83.25	138.39	85.91	106.66	213.70	118.07	140.74	119.86
ENSMUSG00000001131	15.35	18.54	10.12	8.89	15.27	14.56	9.94	8.84
ENSMUSG00000001134	192.28	210.04	178.40	271.77	250.20	167.60	157.34	138.83
ENSMUSG00000001138	641.31	708.21	545.09	873.80	665.48	613.16	837.58	583.53
ENSMUSG00000001143	1198.85	1470.57	1200.74	1780.30	1910.56	1314.26	1496.45	1214.18
ENSMUSG00000001150	3261.33	3600.05	3574.36	4589.50	4558.93	2566.61	3530.63	2611.83
ENSMUSG00000001151	2821.57	3842.40	2791.19	4265.90	3188.88	3112.85	3556.23	2550.51
ENSMUSG00000001155	0.00	3.40	1.21	2.51	1.24	0.00	0.00	0.00
ENSMUSG00000001156	760.65	1022.32	781.92	1175.25	1108.45	774.64	1035.24	817.20
ENSMUSG00000001157	850.87	1087.56	825.48	1231.54	1131.50	861.45	1083.76	762.83
ENSMUSG00000001158	1237.21	1614.92	1329.73	1788.35	1532.61	1203.37	1352.87	1106.08
ENSMUSG00000001166	28.85	29.01	44.51	47.20	43.09	19.08	31.28	11.04
ENSMUSG00000001168	0.00	0.00	1.02	0.00	1.03	0.00	0.00	0.00
ENSMUSG00000001173	2634.59	3525.26	2873.79	4114.48	3567.67	2985.28	3433.34	2578.63
ENSMUSG00000001175	147979.08	201111.03	155924.90	220888.24	206251.95	149085.23	175386.32	141395.76
ENSMUSG00000001211	8015.61	10183.37	8455.74	12135.83	10482.78	8341.19	9995.84	7547.44
ENSMUSG00000001225	15.16	21.49	21.14	22.41	20.07	11.18	18.65	9.95
ENSMUSG00000001227	3948.69	5478.40	4076.01	6214.20	4962.27	3721.74	4754.24	4010.42
ENSMUSG00000001228	60.57	102.88	66.94	112.35	132.33	87.29	77.66	78.29
ENSMUSG00000001229	1349.65	1961.31	1531.27	1984.71	2038.02	1519.06	1884.56	1536.10
ENSMUSG00000001240	572.32	741.97	685.61	778.45	918.92	606.15	658.62	679.34
ENSMUSG00000001247	215.01	197.59	204.04	241.73	372.99	180.95	262.24	195.48
ENSMUSG00000001248	3562.32	4498.85	3799.78	5191.29	4835.72	3512.25	4583.59	3203.37
ENSMUSG00000001249	29.12	41.25	24.30	25.22	62.33	44.94	26.52	12.52
ENSMUSG00000001260	1276.17	1387.57	841.97	1457.70	987.94	890.45	1308.64	747.16
ENSMUSG00000001270	35830.69	46190.14	37099.66	51917.05	49914.35	34881.65	41955.81	35929.33
ENSMUSG00000001280	2160.43	2567.51	2078.38	3299.65	2563.03	2073.38	2513.28	1859.39
ENSMUSG00000001281	56.03	20.36	20.02	72.19	73.19	19.87	41.35	9.62
ENSMUSG00000001285	968.65	1504.40	1107.09	1942.90	1401.77	1106.77	1370.90	1080.05
ENSMUSG00000001288	219.56	315.46	187.34	418.31	302.83	303.71	382.25	265.10
ENSMUSG00000001289	8194.01	10413.47	9006.34	12375.79	11059.41	8848.41	10542.41	7135.32
ENSMUSG00000001300	1071.17	1307.19	1068.77	1501.37	1246.58	1005.98	1624.49	1018.09
ENSMUSG00000001305	603.82	563.15	552.46	767.35	845.62	647.80	683.09	509.95
ENSMUSG00000001313	2212.46	2795.46	2313.42	3139.88	2664.74	2117.84	2446.43	1949.98
ENSMUSG00000001323	3710.20	5317.49	4015.59	6226.00	5425.87	4280.14	4675.26	3870.22
ENSMUSG00000001333	27.59	51.70	32.89	45.48	35.95	27.66	40.89	37.09
ENSMUSG00000001334	5285.88	6603.00	5248.59	7729.55	6981.95	5198.48	5871.70	5046.84
ENSMUSG00000001348	5.62	8.95	10.18	10.94	23.59	5.82	9.16	13.03
ENSMUSG00000001349	18.99	22.99	32.28	41.83	69.92	16.14	33.28	28.41
ENSMUSG00000001366	2692.13	3217.23	2783.98	3679.87	3196.23	2629.16	3199.33	2403.69
ENSMUSG00000001376	4275.42	5762.37	4186.42	6041.10	6206.08	5181.09	5967.09	4117.86
ENSMUSG00000001380	4310.36	5563.22	4390.77	6517.35	5950.87	4277.70	4846.67	4082.96
ENSMUSG00000001383	7175.55	9649.88	7501.14	10862.46	9277.60	7359.75	7957.48	6824.44
ENSMUSG00000001403	11.64	23.44	14.51	19.93	21.75	15.74	12.09	17.08
ENSMUSG00000001415	3351.57	4796.29	3616.06	5226.85	5238.82	3699.64	4404.29	3381.20
ENSMUSG00000001416	5581.41	7127.86	5852.44	7893.43	8311.73	5614.08	6125.96	4981.03
ENSMUSG00000001418	765.10	914.28	796.12	1085.03	1252.02	821.62	851.56	712.32
ENSMUSG00000001419	3028.74	4445.68	4594.68	4961.69	5738.49	3270.86	5160.13	5318.68
ENSMUSG00000001420	12.78	32.43	22.23	18.30	16.10	5.77	11.91	20.21
ENSMUSG00000001424	5551.70	7108.97	5011.99	8259.64	6995.56	4862.68	5733.05	4400.35
ENSMUSG00000001435	172.95	114.27	158.99	224.25	369.73	149.03	150.96	121.88
ENSMUSG00000001436	321.85	352.10	308.23	496.65	585.69	209.63	337.30	205.49
ENSMUSG00000001440	11894.10	14945.95	11428.06	16936.83	17334.40	11768.30	13399.87	10557.27
ENSMUSG00000001441	5038.08	6351.79	4823.42	7414.90	6526.77	5072.02	6010.47	4489.52
ENSMUSG00000001444	9.47	4.95	5.08	5.00	9.27	6.77	3.98	1.01
ENSMUSG00000001445	1669.22	2223.27	1767.56	2562.19	2199.86	1548.68	1687.49	1560.61
ENSMUSG00000001467	3089.88	4463.95	3580.08	4492.61	5030.22	3809.15	4174.75	3837.94
ENSMUSG00000001472	20720.12	27623.25	23150.44	31592.00	29096.47	22143.05	25952.35	20389.97
ENSMUSG00000001473	223.88	261.35	225.09	264.30	312.85	232.85	246.72	193.79
ENSMUSG00000001482	1453.23	1883.56	1506.96	2170.75	1808.19	1366.83	1723.55	1413.30
ENSMUSG00000001493	49.19	55.15	69.13	84.76	37.76	42.84	43.44	27.72
ENSMUSG00000001494	39.32	28.64	34.44	42.05	6.08	22.25	45.32	27.51
ENSMUSG00000001496	18.48	5.93	7.44	6.17	15.02	6.66	2.43	9.95
ENSMUSG00000001497	0.96	1.00	1.02	0.00	0.00	0.97	0.00	0.00
ENSMUSG00000001504	0.00	1.01	0.00	0.00	2.05	0.00	0.00	0.00
ENSMUSG00000001506	79.26	66.22	90.28	168.16	197.94	68.82	69.13	93.08
ENSMUSG00000001507	462.67	497.59	376.00	667.85	698.25	1005.46	648.30	401.93
ENSMUSG00000001508	9.49	12.93	6.11	65.67	39.68	7.62	12.00	9.33
ENSMUSG00000001510	3.78	1.00	0.00	2.00	0.00	6.83	0.00	0.00
ENSMUSG00000001517	46.73	60.05	46.43	72.67	61.04	49.06	45.53	35.73
ENSMUSG00000001518	689.22	992.37	841.81	966.35	546.44	423.79	966.16	718.98
ENSMUSG00000001520	717.12	919.02	713.75	1090.97	799.64	672.99	776.95	605.43
ENSMUSG00000001521	511.67	624.35	533.58	822.01	724.00	555.31	635.24	405.51
ENSMUSG00000001524	533.36	791.45	409.33	748.18	877.23	632.81	679.39	510.12
ENSMUSG00000001525	17842.46	23968.78	18430.03	26701.99	24247.30	17701.05	21489.51	16304.02
ENSMUSG00000001542	1432.58	1969.25	1578.29	2039.34	1852.70	1478.39	2093.50	1411.85
ENSMUSG00000001552	987.86	1326.51	1081.65	1409.78	1311.71	972.54	1193.97	897.01
ENSMUSG00000001555	243.00	271.75	222.74	348.25	327.54	218.36	230.96	345.65
ENSMUSG00000001558	26.83	42.18	19.79	51.47	54.27	48.01	27.02	14.39
ENSMUSG00000001566	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000001569	3704.21	3519.47	3210.68	3821.41	3258.76	2764.26	3881.51	2242.83
ENSMUSG00000001576	3836.77	4872.52	3727.22	5455.10	5126.86	3726.03	4647.51	3648.92
ENSMUSG00000001583	3.66	3.93	2.24	7.67	8.07	3.85	4.49	0.00
ENSMUSG00000001588	7.30	1.91	5.67	5.58	1.82	5.55	7.18	1.90
ENSMUSG00000001604	54.05	24.16	24.76	86.01	121.41	48.96	48.19	31.82
ENSMUSG00000001622	0.96	0.00	0.00	0.00	1.04	0.00	0.98	0.99
ENSMUSG00000001627	1237.85	1726.07	1374.78	1930.68	2520.05	1705.16	1761.81	1371.64
ENSMUSG00000001630	1608.31	1782.37	1617.09	2232.14	2288.21	1820.36	1997.11	1584.87
ENSMUSG00000001632	1509.08	2044.36	1783.93	2550.04	2308.19	1900.75	2196.26	1930.41
ENSMUSG00000001642	1260.49	1520.78	1329.52	1877.41	1598.42	1219.57	1367.99	1120.01
ENSMUSG00000001655	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000001656	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000001657	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
