City,Country,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating
Vilnius,Lithuania,1.23,4.44,4.44,1.19,493.78,457.29,24.17,77.31,82.08,64.19,27.93
Bangkok,Thailand,1.37,4.1,13.68,0.91,1139.76,455.91,20.82,95.96,60.39,37.54,36.1
Belo Horizonte,Brazil,1.38,5.69,8.13,0.9,764.05,455.69,21.77,57.26,59.73,36.26,50.99
Amman,Jordan,2.55,6.54,12.79,0.83,460.92,441.94,21.22,75.37,61.63,39.57,46.74
Bangalore,India,0.72,3.02,4.83,0.91,362.03,422.37,38.67,69.38,80.94,52.11,51.03
Budapest,Hungary,1,4.27,2.85,1.2,341.97,414.64,24.59,60.42,68.38,46.58,34.18
Tehran,Iran,1.96,2.62,26.15,0.37,980.65,392.26,18.09,43.98,87.62,14.33,54.16
Lima,Peru,1.65,3.79,6.27,1.03,784.52,392.26,23.22,53.7,58.49,22.67,65.31
Bucharest,Romania,1.37,4.89,2.94,1.17,508.98,383.17,22.85,52.05,74.57,29.45,33.41
Antalya,Turkey,1.81,3.26,5.44,1.62,217.45,362.42,22.91,59.55,30.55,40.51,44.53
Pune,India,0.84,2.41,5.43,0.89,301.69,362.03,37.96,66.62,79.24,43.84,41.37
Delhi,India,0.84,2.41,7.24,0.84,362.03,362.03,34.39,74.99,73.03,42.45,52.56
Kiev,Ukraine,1.31,4.17,3.92,0.92,980.65,361.3,18.88,36.48,67.36,24.05,54.19
Belgrade,Serbia,1.1,2.98,3.02,1.17,426.24,359.9,21.46,52.53,77.08,35.69,37.97
Sofia,Bulgaria,0.87,3.93,3.06,1.11,349.35,353.72,23.03,51.43,26.63,37.72,48.26
Lagos,Nigeria,2.62,6.54,7.85,0.4,1193.13,350.79,14.91,62.04,26.63,19.48,60.44
Baku,Azerbaijan,2.53,5.48,7.59,0.51,1278.72,340.99,11.38,28.7,49.47,17.2,36.69
Mumbai,India,0.84,3.02,6.03,0.89,603.39,337.9,28.83,58.41,70.49,26.43,34.63
Jakarta,Indonesia,1.88,3.37,16.83,0.45,807.7,336.54,17.38,38.33,57.91,15.66,48.27
Ulaanbaatar,Mongolia,1.75,3.27,6.54,0.78,1307.54,326.88,15.35,43.06,55.87,24.5,46.87
Colombo,Sri Lanka,1.54,2.35,11.16,0.83,713.9,326.88,20.18,75,33.59,26.68,50
Bogota,Colombia,1.25,4.27,7.48,0.8,426.95,326.88,14.52,73.89,14.54,29.33,46.02
Nairobi,Kenya,1.36,3.92,7.21,0.94,632.15,323.49,15.82,61.34,39.16,14.36,71.88
Vadodara,India,0.72,2.17,6.03,0.84,120.68,307.73,36.37,77.87,92.42,54.98,32.03
Porto Alegre,Brazil,1.14,5.2,4.71,0.89,487.69,306.89,19.07,51.01,86.16,31.87,76.46
Ahmedabad,India,0.72,2.11,4.22,0.85,193.08,301.69,33.69,61.67,68.21,57.01,18.18
Hyderabad,India,0.72,1.81,4.83,0.91,241.35,301.69,39.93,63.89,89.72,54.97,36.9
Chennai,India,0.66,1.81,4.83,0.87,301.69,301.69,32.91,67.49,78.07,43.89,33.22
Dhaka,Bangladesh,1.31,2.09,9.17,0.77,312.91,295.54,21.32,20.83,62.14,13.48,59.06
Minsk,Belarus,1.31,2.12,4.25,0.56,491.12,294.2,16.14,50,66.89,51.66,26.82
Tirana,Albania,0.85,3.12,4.26,1.27,426.24,285.76,17.8,44.44,80.84,36.81,47.99
Varna,Bulgaria,0.83,3.93,3.06,1.09,305.68,283.85,20.34,50.23,80.84,36.03,36.46
Kolkata,India,0.84,2.41,4.83,0.87,241.35,271.52,28.8,31.29,72.59,25.64,43.33
Kochi,India,0.6,1.81,3.62,0.84,181.02,271.52,28.98,70.23,71.78,45.13,16.93
Kharkiv,Ukraine,1,3.21,3.27,0.88,523.02,255.74,17.11,35.06,67.05,30.76,53.75
Casablanca,Morocco,1.7,3.94,3.45,0.85,997.08,230.09,13.2,53.7,62.97,48.69,38.28
Chiang Mai,Thailand,1.05,3.53,11.4,0.82,426.24,227.95,15.89,85.91,30.55,37.5,37.78
Manila,Philippines,1.58,2.77,4.75,0.86,791.68,221.67,14.8,80.56,65.22,13.14,66.36
Quito,Ecuador,1.22,2.94,6.54,0.29,310.54,196.13,14.24,32.41,14.76,46.43,48.36
Hanoi,Vietnam,1.31,2.66,8.17,0.81,718.36,172.25,12.22,20.83,24.02,5.29,51.81
Cairo,Egypt,1.42,3.27,7.33,0.19,425.85,163.44,11.9,56.48,86.16,17.25,48.81
Karachi,Pakistan,1,3.27,5.11,0.67,197.78,139.6,14.63,51.57,69.63,18.5,74.36
Lahore,Pakistan,1.23,3.27,6.54,0.66,206.08,132.95,12.45,48.94,30.55,28.52,51.98
Addis Ababa,Ethiopia,0.46,2.29,4.18,0.72,653.77,124.22,6.38,63.89,85.59,28.41,26.04
Indore,India,0.91,2.23,6.03,0.84,205.15,120.68,35.79,31.34,59.42,48.53,16.93
